User-ID;ISBN;Book-Rating
171118;913154;8
86123;1010565;0
209516;1010565;0
23902;1046438;9
196149;1046713;0
206300;1046934;0
23902;1047213;9
244994;1047647;0
246671;1047663;0
11944;1047973;9
23902;1047973;9
23902;1048082;8
109901;1048082;8
23902;1048473;0
53729;1049879;0
76626;1052039;0
189835;1053736;5
189835;1053744;5
85526;1055607;8
93047;1056107;8
95359;1056107;8
131966;1061127;8
198711;1232088;0
10067;1360469;10
16319;1372564;0
10067;1374869;10
26583;1382381;0
26583;1382608;0
43962;1711105;0
156534;1711253;0
6575;1714600;0
52853;1714600;8
176062;1718126;0
110029;1811150;0
70969;1811819;8
201017;1821326;10
96473;1821504;0
11676;1837397;0
115875;1837397;9
225986;1837397;0
114216;1840517;0
11676;1841572;0
108091;1841572;5
37724;1842749;0
44925;1842749;0
56399;1845039;10
122874;1846086;0
11676;1848445;0
131402;1848445;0
145927;1848445;0
175886;1848461;0
139975;1850121;8
130973;1856367;9
205429;1856367;0
11676;1900277;0
181659;1900277;10
206979;1900277;0
229329;1935968;10
14867;1939203;8
11676;1941941;0
110746;1941941;9
110746;1941968;9
11676;1944711;6
110029;1944711;0
206979;1944711;0
110029;1945203;5
89514;1952404;0
69078;1952803;7
63714;1953877;10
201526;1961721;0
166188;1981307;0
208410;1981307;9
244602;1981323;10
76352;1981625;0
184401;1981625;8
98509;2000202;0
85526;2000288;0
98499;2000288;0
93366;2000369;8
101606;2000547;8
8;2005018;5
11400;2005018;0
11676;2005018;8
41385;2005018;0
67544;2005018;8
85526;2005018;0
96054;2005018;0
116866;2005018;9
123629;2005018;9
177458;2005018;0
200273;2005018;8
210926;2005018;9
219008;2005018;7
36907;2005050;10
85526;2005050;0
152309;2005050;0
13221;2005395;0
13222;2005395;8
85526;2005557;7
98510;2006502;0
26583;2006588;8
101731;2006588;8
106988;2111314;6
110029;2113570;0
170184;2114038;0
120565;2115328;9
25745;2116286;0
101606;2116286;6
123056;2116286;8
219008;2116286;7
233627;2116286;8
224121;2118572;0
11676;2118580;9
175119;2118580;0
194500;2118580;7
122881;2130289;0
216749;2153572;7
246617;2154064;0
189733;2154390;0
193560;2154900;8
227436;2154978;9
181077;2156083;0
114066;2156601;0
14449;2156970;0
204946;2157101;0
249111;2157411;0
222586;2157446;8
171118;2157853;0
189334;2157853;0
93162;2157950;10
157594;2157950;0
109901;2158698;0
26583;2159767;0
68743;2160099;8
17507;2160595;0
129598;2162857;0
98573;2163578;5
23902;2163713;8
103515;2164868;8
27617;2165368;8
110029;2166607;0
36836;2166631;0
217121;2166798;0
28602;2166828;8
171118;2167425;0
43962;2169290;0
86835;2172739;0
217121;2173611;0
42400;2174154;0
52441;2174154;0
63714;2176181;9
11676;2176432;5
161619;2176432;5
175886;2177803;0
11601;2179687;0
159506;2179695;9
189835;2181924;5
11676;2184974;7
180651;2184974;8
166670;2187272;10
93740;2189569;4
122881;2190206;0
49277;2190915;0
63714;2190915;10
76626;2190915;0
179691;2190915;9
193560;2190915;0
61147;2191792;10
61147;2192152;10
107697;2195690;0
193560;2197154;7
91449;2197286;9
61147;2199009;9
68760;2199793;10
122881;2200309;10
122881;2200813;0
122881;2200821;0
122881;2201402;0
122881;2201410;0
122881;2201453;0
28204;2202107;0
147166;2210436;5
111550;2210479;6
76942;2210843;0
22023;2210967;0
170184;2210967;10
227538;2210967;0
214528;2211483;0
25489;2211890;8
131411;2211890;7
35050;2212064;0
96493;2212080;0
173018;2213656;0
227538;2213656;0
133008;2214067;10
172742;2215039;0
76942;2215470;0
203366;2215470;0
86243;2215497;0
11601;2215810;0
35050;2215810;0
